,name,What college are you at?,I identify as...,I want to be matched with people looking for...,I want to match with people who are,How do you feel about an open/polyamorous relationship?,What year are you in?,What years do you want to match with?,What do you study?,Where do you go?,How COVID-Secure is your Date?,What do you talk about?,How far do you go?,It's ok to leave friends on read,Capitalism has failed the planet,University COVID guidelines are too harsh,Sharking is predatory,Drug laws should be loosened,I am scared that if I express my opinions I will be cancelled,Pissing in the sink is normal,How smart are you compared to the average Oxford student?,Was clubbing a large part of your social life?,The Pre-Covid best night out was...,How do you feel about alcohol?,How do you feel about cigarettes?,Is music important in your relationships?,Who are your favourite musicians?,How stylish are you?,How outdoorsy are you?,How kinky are you compared to the average Oxford student?,Is sports important in your relationships?,How important is emotional vulnerability in your relationships?,Which of these traits is most important for you in a partner?,Which of these traits do you have most?,Which of these traits do you have least?,I would best describe my political views as being...,There are some political views I don't want to be matched with,I do not want to match with someone who is...,Best Chip Van in Oxford,Worst Subject,Sexiest JCR Position,Biggest Waste of Human Potential,Nicest College,Biggest Name On Campus,I want to enter a crush,My crush's first name is...,My crush's college is...,I do not want to match with someone from my college,I do not want to match with someone from my course,Is there a particular college you don't want a match from?,I don't want a match from...,How was the quiz?,Any feedback for next time?,Do you want to share any contact details with your match (other than your Oxford email)?,Submitted At,Token,Unnamed: 60,Unnamed: 61,Unnamed: 62
976,person 923,The Queen's College,Female,,Male,Not interested,First,"First, Second",Biomedical Sciences,Drinks,As long as it's legal,Daily life,Peck on the cheek,2,5,2,4,3,2,1,2,2,,5,1,1,,1,2,1.0,1,4,Kindness,Kindness,Confidence,Moderately left-wing,True,Very conservative,Hassan's,Computer Science and Philosophy,Welfare,The Union,Worcester College,,False,,,True,True,False,,5,,True,2020-10-20 15:11:20,9gymxmqitehxj41lw59fg9gymxmq2284,,,
977,person 1572,Lincoln College,Female,,Male,Not interested,Fourth + / Post Grad,Fourth + / Post Grad,Modern Languages,Coffee,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,2,3,2,5,3,1,2,4,3,Bridge,4,2,5,Vampire Weekend,3,3,2.0,1,4,Kindness,Kindness,Confidence,Very left-wing,False,,Hassan's,"Philosophy, Politics and Economics (PPE)",Welfare,The Union,Corpus Christi College,Hassan (of Hassan's),False,,,True,True,False,,5,"A* questions, keep up the good work x",False,2020-10-20 15:29:24,tqyopv6v2dszcdufshtqyop9lw11etfa,,,
978,person 2932,St Antony's College,Male,,Female,Happy either-way,Fourth + / Post Grad,"Second, Third, Fourth + / Post Grad",Other,Coffee,As long as it's legal,The Deep Stuff™,Peck on the cheek,3,2,2,3,2,3,5,4,3,Park End / ATIK / WTF it's called,4,2,3,,4,5,2.0,1,2,Sense of Humour,Sense of Humour,Sense of Humour,Sightly conservative,False,,Hassan's,Fine Art,Welfare,Student Journalism,St Antony's College,Brendan McGrath,False,,,True,False,False,,5,None,False,2020-10-20 15:35:20,pg0sumyqejzciuv3pg0su5b6achcxsuo,,,
979,person 1512,Mansfield College,Female,,Male,Happy either-way,Fourth + / Post Grad,Fourth + / Post Grad,Other,Drinks,As long as it's legal,Sex,Horizontal,5,5,4,4,5,3,4,2,4,Plush,5,4,4,"Bauhaus, New Order etc etc",4,2,4.0,1,4,Confidence,Kindness,Intelligence,Slightly left-wing,True,"Very conservative, Moderately conservative, Very left-wing",Hassan's,Economics and Management,Entz,The Union,Balliol College,,False,,,True,True,False,,4,Nope,False,2020-10-20 15:52:42,m5f6vk6uwz2b5knim5f6v0die92n2zpf,,,
980,person 2239,Merton College,Male,,Female,Not interested,Third,"First, Second, Third, Fourth + / Post Grad",Law (Jurisprudence),Drinks,As long as it's legal,Politics,Peck on the cheek,3,1,2,1,1,5,5,4,3,Fever,4,1,1,,3,3,1.0,1,2,Intelligence,Intelligence,Kindness,Moderately conservative,False,,Hassan's,Chemistry,President,Rowing,Magdalen College,Ross Moore,True,person 2808,Magdalen College,True,True,False,,4,No,False,2020-10-20 15:57:41,bta09vgkb9cbqj1rwrd2qbta09vgpuk2,,,
981,person 3118,Kellogg College,Male,,Female,Not interested,Fourth + / Post Grad,"Fourth + / Post Grad, Third, Second, First",Mathematics and Statistics,Drinks,As long as it's legal,"Art, Music, Culture...",Horizontal,3,5,3,4,4,1,1,2,4,Bullingdon,4,3,4,"Disclosure, Peggy Gou, Loyle Carner, Caribou, Tom Misch",4,4,2.0,3,1,Kindness,Kindness,Confidence,Moderately left-wing,True,"Very conservative, Moderately conservative, Sightly conservative",Hassan's,Classics,President,Rowing,Keble College,Roberto Farrington,True,did not enter oxmatch,Lady Margaret Hall,True,True,False,,4,Nope,True,2020-10-20 16:02:29,we75pkncuvi3z1qwe7qic96ff1u9d3k6,,,
982,person 467,Merton College,Male,,Female,Not interested,Third,"Second, Third, Fourth + / Post Grad",Law (Jurisprudence),Drinks,"Live fast, die young","Art, Music, Culture...",Peck on the cheek,4,1,4,3,5,3,5,3,4,Bridge,5,4,3,,3,1,2.0,1,2,Ambition,Ambition,Kindness,Moderately conservative,False,,Hassan's,Geography,President,Student Journalism,Brasenose College,,False,,,False,True,False,,4,No,False,2020-10-20 16:07:24,933ghyr4q8nmsox2o58h933ghyvmxdj1,,,
983,person 1328,Brasenose College,Male,,Female,Happy either-way,First,"First, Second, Third",History,Walk in the park,"Live fast, die young","Art, Music, Culture...",Horizontal,1,2,4,3,4,3,1,2,3,Bridge,5,4,2,,3,3,2.0,2,5,Intelligence,Kindness,Sense of Humour,Moderate,False,,Hassan's,Economics and Management,Entz,Rowing,St Anne's College,Dan Whiley,True,did not enter oxmatch,Magdalen College,False,True,False,,5,None,False,2020-10-20 16:18:20,rrx3tq2ihtyu83awidrrx3tqw3bywuml,,,
984,person 743,St Benet's Hall,Female,,Male,Not interested,Second,"Second, Third",Oriental Studies,Drinks,"Live fast, die young",All of the above,Horizontal,4,3,4,2,3,3,1,1,4,Bridge,4,3,1,,5,2,4.0,3,3,Confidence,Kindness,Intelligence,Moderate,True,"Very left-wing, Moderately left-wing",Hassan's,Computer Science,Entz,Student Journalism,Jesus College,,False,,,False,False,False,,4,Not really,False,2020-10-20 16:27:56,8kzemtp6mp1vj8kzemliben1h2xhwtw2,,,
985,person 2047,St Hugh's College,Female,,Male,Not interested,Second,Second,History,Drinks,"Live fast, die young",Food,Peck on the cheek,2,2,4,2,3,3,1,1,4,Bridge,4,3,3,,5,3,2.0,4,3,Confidence,Kindness,Confidence,Moderately conservative,True,"Very left-wing, Moderately left-wing, Slightly left-wing",Hassan's,Computer Science,Entz,Rowing,New College,,False,,,False,True,False,,3,Not really,False,2020-10-20 16:27:57,znbh3fcwtg77tlfrntznbh3fvarvie4t,,,
986,person 2963,University College,Male,,Female,Not interested,Second,"Second, Third, Fourth + / Post Grad","Philosophy, Politics and Economics (PPE)",Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,3,3,5,3,5,4,4,2,5,Bullingdon,5,3,2,,4,2,2.0,3,4,Confidence,Ambition,Intelligence,Slightly left-wing,False,,Ahmed's,Mathematics and Computer Science,President,The Union,St Catherine's College,Me,False,,,False,True,False,,4,more kinky content,False,2020-10-20 16:35:35,lb4pd8nbkqbhtlbojykh0z2w5urp0vlw,,,
987,person 2392,Magdalen College,Male,,Female,Happy either-way,Fourth + / Post Grad,"Third, Second, Fourth + / Post Grad, First",Mathematics,Drinks,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,2,2,2,1,3,2,5,2,4,Park End / ATIK / WTF it's called,4,2,3,,4,3,3.0,4,4,Sense of Humour,Sense of Humour,Intelligence,I'm not political,False,,Ahmed's,Computer Science,Entz,OUCA,New College,me,False,,,True,False,False,,3,no,False,2020-10-20 17:03:22,91bfl97v8jysu91z87qpuzy9o71f12fk,,,
988,person 1840,St Hugh's College,Female,,Male,Not interested,Fourth + / Post Grad,"Third, Fourth + / Post Grad",Mathematics,Coffee,As long as it's legal,The Deep Stuff™,Peck on the cheek,4,2,5,3,3,4,4,4,4,Park End / ATIK / WTF it's called,4,2,2,,3,5,2.0,1,3,Sense of Humour,Kindness,Ambition,I'm not political,True,"Very left-wing, Very conservative",Ahmed's,History of Art,Entz,Student Journalism,Lady Margaret Hall,Covid,False,,,False,False,False,,5,No,False,2020-10-20 17:15:02,rasapqoq75nxbxci3zrasabfoaqg8tzi,,,
989,person 1962,Merton College,Female,,Male,Not interested,Third,"Third, Fourth + / Post Grad",English Language and Literature,Coffee,"Live fast, die young",The Deep Stuff™,Peck on the cheek,4,2,4,3,4,1,4,2,4,Fever,2,3,1,,4,5,2.0,5,2,Confidence,Confidence,Kindness,Slightly left-wing,True,Very conservative,Ahmed's,Geography,Entz,OUCA,New College,Alasdair Linn?,False,,,False,True,False,,5,Nope!,True,2020-10-20 17:26:48,piylb1zguiaixfjtsnkpiylb2scyrl7t,,,
990,person 2237,Pembroke College,Female,,Male,Not interested,Second,"Second, Third",History and English,Coffee,As long as it's legal,"background, interests",Peck on the cheek,2,4,3,4,1,2,1,1,3,Bridge,3,2,3,,4,3,,2,3,Sense of Humour,Kindness,Confidence,Slightly left-wing,True,"Very conservative, Very left-wing",Hassan's,Economics and Management,Welfare,OUCA,Magdalen College,,False,,,False,False,False,,5,.,False,2020-10-20 17:30:25,4u3ur4n1v53unoury4u3ur4umntvreox,,,
991,person 1126,Jesus College,Female,,Male,Not interested,Fourth + / Post Grad,"Third, Fourth + / Post Grad",Law (Jurisprudence),Drinks,As long as it's legal,The Deep Stuff™,Horizontal,2,2,2,3,3,2,2,2,4,Park End / ATIK / WTF it's called,3,2,3,,4,3,,3,3,Sense of Humour,Sense of Humour,Confidence,Moderate,False,,Hassan's,Theology and Religion,President,OUCA,Worcester College,,False,,,True,True,False,,4,No,True,2020-10-20 18:10:03,383atlpx68zmhi3q6py2383a0jbavfdg,,,
992,person 2274,Trinity College,Female,,Male,Not interested,Fourth + / Post Grad,"Third, Fourth + / Post Grad",Law (Jurisprudence),Drinks,As long as it's legal,The Deep Stuff™,Peck on the cheek,2,4,4,3,4,2,3,3,4,Park End / ATIK / WTF it's called,4,2,1,,4,4,,2,4,Kindness,Sense of Humour,Ambition,Moderately left-wing,False,,Hassan's,Theology and Religion,Welfare,OUCA,Worcester College,,False,,,False,True,False,,4,No,False,2020-10-20 18:10:07,g2naozgkybu4v33rc563tdg2naoqpz9t,,,
993,person 1767,Exeter College,Female,,Male,Not interested,First,"Second, Third",Law (Jurisprudence),Drinks,"Live fast, die young","Art, Music, Culture...",Peck on the cheek,4,4,3,3,4,5,3,2,4,Park End / ATIK / WTF it's called,4,3,1,,2,3,2.0,4,2,Confidence,Sense of Humour,Confidence,Sightly conservative,True,"Very left-wing, Very conservative",Hassan's,Mathematics and Computer Science,Entz,Student Journalism,New College,Malala,False,,,False,True,False,,5,no,False,2020-10-20 18:23:20,esru9ainr0ejybtep3esru9abs4w5mcd,,,
994,person 1442,Exeter College,Female,,Male,Not interested,First,"Second, Third",Law (Jurisprudence),Walk in the park,As long as it's legal,The Deep Stuff™,Peck on the cheek,2,2,3,2,3,1,1,3,4,Park End / ATIK / WTF it's called,4,2,2,,3,2,3.0,4,2,Sense of Humour,Kindness,Sense of Humour,Slightly left-wing,True,"Very left-wing, Very conservative",Hassan's,Mathematics and Computer Science,Entz,OUCA,St Catherine's College,Malala,False,,,False,True,False,,5,Thanks,False,2020-10-20 18:23:44,f2a9rlw367x6ib8g0vswrg2f2a9rlv5n,,,
995,person 2228,Christ Church,Male,,Male,Happy either-way,First,"First, Second, Third, Fourth + / Post Grad",Modern Languages,Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,2,4,5,4,4,1,4,3,5,Plush,4,4,5,"Lana, Charli XCX, gay shit",4,2,3.0,1,5,Sense of Humour,Kindness,Kindness,Moderately left-wing,True,Very conservative,Hassan's,Geography,Freshers Rep,Student Journalism,Lady Margaret Hall,Elowen Hill,False,,,True,True,False,,4,No x,True,2020-10-20 18:27:33,jvb4rxwrhnb8nxvje3tqcrsnktedilrr,,,
996,person 463,Christ Church,Male,,Female,Not interested,First,"First, Third, Second, Fourth + / Post Grad",History,Drinks,"Live fast, die young",The Deep Stuff™,Horizontal,4,2,4,3,3,1,4,3,3,Bullingdon,5,4,4,John Mayer,5,5,5.0,2,4,Sense of Humour,Sense of Humour,Intelligence,I'm not political,False,,McCoy's,Economics and Management,Entz,Student Journalism,Oriel College,Elowen,False,,,True,True,False,,5,Nope,True,2020-10-20 18:30:34,8ynk5i86t7034rcbl5v8ynk5xdovmh6q,,,
997,person 1216,Magdalen College,Female,,Male,Not interested,Third,"Third, Fourth + / Post Grad",Medicine,Walk in the park,As long as it's legal,Anecdotes ,Elbow Tap,4,3,3,3,4,2,1,3,3,Park End / ATIK / WTF it's called,4,1,5,,4,5,2.0,3,3,Sense of Humour,Kindness,Ambition,Slightly left-wing,False,,Hassan's,Classics,Welfare,OUCA,Keble College,Arthur James,False,,,True,True,False,,5,It was good,False,2020-10-20 18:32:09,b9bwymm36xi4wtpe8358tkb9bwymm3yq,,,
998,person 2928,Jesus College,Male,,Female,Happy either-way,Third,"Second, Third, Fourth + / Post Grad",Physics,Dinner,"Live fast, die young","Art, Music, Culture...",Horizontal,3,2,2,4,3,1,5,4,3,Fever,5,3,4,Bowie,5,3,4.0,2,1,Sense of Humour,Sense of Humour,Ambition,Slightly left-wing,False,,Hassan's,Classics,Entz,Rowing,Corpus Christi College,Dunno,False,,,False,True,False,,5,No,True,2020-10-20 18:37:42,m26n1ivzkcq333jm26n16o38huuxxxmt,,,
999,person 1820,Keble College,Male,,Female,Not interested,Third,"First, Second, Third, Fourth + / Post Grad",Physics,Dinner,As long as it's legal,Have you seen chicken run,Horizontal,3,2,5,4,3,4,4,5,3,Park End / ATIK / WTF it's called,1,4,5,BTS,3,2,5.0,1,4,Sense of Humour,Sense of Humour,Intelligence,Moderate,False,,Hassan's,Oriental Studies,Entz,The Union,Lady Margaret Hall,Gareth Waters,False,,,False,True,False,,5,More music,False,2020-10-20 18:37:56,z0tbb58u04smhfzmz0tu54hju8pry217,,,
1000,person 1079,Magdalen College,Female,,Male,Not interested,Third,"Second, Third, Fourth + / Post Grad",Biology,Walk in the park,"Live fast, die young",The Deep Stuff™,Peck on the cheek,3,3,3,3,2,2,1,3,3,Park End / ATIK / WTF it's called,4,1,2,,3,5,3.0,2,4,Sense of Humour,Kindness,Confidence,Moderately left-wing,True,Very conservative,Hassan's,Economics and Management,Welfare,OUCA,New College,,False,,,True,True,False,,4,No,False,2020-10-20 18:41:37,rd3fnz9wuqqf4xdrd3fn3vunul8bc0pe,,,
1001,person 2292,Hertford College,Male,,Female,Happy either-way,Third,"Second, Third",Law (Jurisprudence),Drinks,"Live fast, die young",The Deep Stuff™,Peck on the cheek,4,4,2,3,4,3,4,2,4,Fever,4,3,5,"Aretha Franklin, Nina Simone, The Weeknd, Brent Faiyaz, Jorja Smith",4,4,3.0,3,4,Sense of Humour,Sense of Humour,Intelligence,Moderately left-wing,True,Very conservative,Hassan's,Chemistry,Entz,OUCA,Worcester College,COVID-19,False,,,False,True,False,,4,Naaa,True,2020-10-20 18:44:36,u6k7o6ug4n3vxsru6k7oxr3lne2u7uv6,,,
1002,person 2536,Trinity College,Male,,Female,Not interested,Fourth + / Post Grad,"Second, Third, Fourth + / Post Grad",Biochemistry (Molecular and Cellular),Drinks,"Live fast, die young",Depends on where the convo goes,Horizontal,4,4,3,3,5,2,5,2,4,Bullingdon,4,2,3,,3,5,4.0,2,5,Kindness,Sense of Humour,Ambition,Moderately left-wing,True,"Very conservative, Moderately conservative",Hassan's,Classics,President,Rowing,Worcester College,idk,False,,,True,True,False,,3,keep it up. proud of u,True,2020-10-20 18:49:12,h4lw097uwb7743d4fh4lw09k9fhws2nk,,,
1003,person 1150,Keble College,Female,,"Male, Female",Not interested,Third,"Second, Third, Fourth + / Post Grad",Biology,Drinks,As long as it's legal,Anything,Horizontal,3,4,2,3,2,3,2,2,4,Bridge,4,1,5,"Park Hyo Shin, The Rose, Day6, Fall Out Boy, Blossoms",3,5,3.0,2,5,Confidence,Kindness,Confidence,I'm not political,True,"Very left-wing, Very conservative, Moderately conservative",Hassan's,Fine Art,Freshers Rep,OUCA,Worcester College,Mukahang limbu,False,,,False,True,False,,5,No,False,2020-10-20 19:22:14,jx5f9i019ypoc73rzpduim5jx5f9i9vn,,,
1004,person 2142,Christ Church,Male,,Female,Not interested,Third,Third,"Philosophy, Politics and Economics (PPE)",Drinks,"Live fast, die young",The Deep Stuff™,Horizontal,3,3,5,4,4,1,2,5,5,Bullingdon,5,5,4,Frank ocean,4,3,2.0,3,5,Confidence,Confidence,Ambition,Moderately left-wing,False,,Ahmed's,Mathematics and Computer Science,Entz,Rowing,New College,Me,False,,,False,True,False,,4,no,True,2020-10-20 19:36:48,7lroclchdxdvz5cl0ea7lroco7qf7ulz,,,
1005,person 111,Christ Church,Male,,Female,Not interested,Third,Third,English Language and Literature,Drinks,"Live fast, die young",The Deep Stuff™,Horizontal,5,3,5,3,3,1,4,2,4,Bridge,5,1,3,,4,5,2.0,3,3,Kindness,Kindness,Ambition,I'm not political,True,Very conservative,McCoy's,Computer Science,Entz,The Union,Worcester College,grace fitt,False,,,False,True,False,,4,no,False,2020-10-20 19:42:08,w2ubqh9ns3aax6ylvow2ubqhrtd1yiw4,,,
1006,person 2356,Christ Church,Male,,Female,Not interested,First,First,"Philosophy, Politics and Economics (PPE)",Drinks,As long as it's legal,The Deep Stuff™,Horizontal,2,5,3,5,5,2,1,3,1,,4,2,4,"RHCP, BLUR, KASABIAN",3,5,2.0,2,4,Kindness,Kindness,Ambition,Very left-wing,True,"Very conservative, Moderately conservative",McCoy's,Biology,Entz,OUCA,Keble College,Idk,False,,,True,False,False,,4,No,False,2020-10-20 19:49:21,03txie0fx2k0y4k2jd03txigw1u42n85,,,
1007,person 233,Regent's Park College,Female,,"Female, Male",Happy either-way,Second,"Second, Third, Fourth + / Post Grad",English Language and Literature,Coffee,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,3,5,1,3,4,2,3,1,2,,3,3,3,,3,4,3.0,1,4,Kindness,Kindness,Confidence,Moderately left-wing,True,"Very conservative, Moderately conservative, Sightly conservative",Hassan's,Mathematics and Statistics,Welfare,OUCA,St Edmund Hall,Ibz Mo,False,,,False,True,False,,3,no,False,2020-10-20 19:49:38,jxnklxxruazmgygjxnkf6fdyko9az5fz,,,
1008,person 16,Christ Church,Male,,Female,Happy either-way,Second,Second,Medicine,Drinks,As long as it's legal,The Deep Stuff™,Peck on the cheek,3,2,4,5,4,2,5,3,4,Park End / ATIK / WTF it's called,5,1,4,"Bee Gees, Dave, Still Woozy, Kanye west",2,3,2.0,2,4,Sense of Humour,Sense of Humour,Confidence,Moderately left-wing,True,Very conservative,McCoy's,Computer Science,Entz,OUCA,St Catherine's College,N/a,True,person 0,St Hugh's College,False,True,False,,5,Skip some questions,False,2020-10-20 20:23:37,ayd9q6st3cozsjnx83fayd9qe60bf37q,,,
1009,person 1003,St Peter's College,Male,,Female,Not interested,Third,"First, Second, Third, Fourth + / Post Grad",Archaeology and Anthropology,Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,3,1,4,3,3,4,3,4,4,Park End / ATIK / WTF it's called,5,1,3,,5,4,5.0,3,4,Sense of Humour,Sense of Humour,Sense of Humour,Moderately conservative,True,"Very left-wing, Moderately left-wing",Posh Nosh,Mathematics,Entz,Rowing,St Hugh's College,The Westgate sign is massive,True,did not enter oxmatch,St Cross College,True,True,True,Keble College,5,More controversial opinion questions,True,2020-10-20 20:25:32,cu380ou95i03b6b9mfrwhcu380ou9uut,,,
1010,person 984,St John's College,Female,,Male,Not interested,First,"First, Second, Third",English and Modern Languages,Drinks,"Live fast, die young","Art, Music, Culture...",Peck on the cheek,4,4,3,5,3,1,1,3,4,Bridge,5,3,3,,5,3,,3,5,Sense of Humour,Kindness,Confidence,Moderately left-wing,True,"Very conservative, Moderately conservative",Hassan's,Computer Science,Entz,The Union,Magdalen College,,False,,,True,True,False,,5,no it is perfect,True,2020-10-20 20:44:17,ym9ybwiqdu052vcoym9768pnp0exqf68,,,
1011,person 201,St John's College,Female,,Male,Not interested,First,"First, Second, Third",Modern Languages,Drinks,"Live fast, die young",The Deep Stuff™,Peck on the cheek,4,4,3,5,4,1,4,3,3,Bridge,5,3,3,,4,4,,3,5,Kindness,Sense of Humour,Intelligence,I'm not political,True,"Very conservative, Moderately conservative, Sightly conservative",Hassan's,Computer Science,President,The Union,Magdalen College,Eve Bennett,False,,,True,True,False,,5,No,True,2020-10-20 20:44:23,outtjm24dyc32g6zouttaracwhl1anqg,,,
1012,person 1447,St John's College,Female,,Male,Not interested,First,"Third, Second, First",Medicine,Drinks,"Live fast, die young",The Deep Stuff™,Peck on the cheek,3,3,3,2,4,1,3,3,3,Park End / ATIK / WTF it's called,4,2,4,"catfish and the bottlemen, the arctic monkeys, mxmtoon",4,5,,1,3,Sense of Humour,Sense of Humour,Confidence,Slightly left-wing,False,,Hassan's,Computer Science,Entz,The Union,Magdalen College,,False,,,True,True,False,,5,it’s perf,True,2020-10-20 20:44:29,6ec6513sydamzh36ec650c36axe21w5f,,,
1013,person 3070,University College,Male,,Male,Happy either-way,Second,"First, Second, Third, Fourth + / Post Grad","Philosophy, Politics and Economics (PPE)",Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,5,3,5,4,5,1,5,3,5,Bullingdon,5,4,4,Kendrick,4,4,2.0,1,3,Confidence,Confidence,Kindness,Moderately left-wing,True,"Very conservative, I'm not political, Moderately conservative",Ahmed's,Computer Science,President,OUCA,Balliol College,Ahmed,False,,,False,True,False,,5,No,False,2020-10-20 20:52:28,uc6e140lu8v058vuoduc6enua5mfbp3t,,,
1014,person 2759,University College,Male,,Female,Not interested,Second,"First, Second, Third, Fourth + / Post Grad","Philosophy, Politics and Economics (PPE)",Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,4,3,5,3,5,1,5,3,5,Bullingdon,5,4,4,"Otis Redding, Fiona Apple, The Beatles, more",4,3,4.0,3,3,Confidence,Confidence,Kindness,Moderately left-wing,False,,Ahmed's,Computer Science,Entz,OUCA,St Catherine's College,Malala,False,,,False,True,False,,4,No,True,2020-10-20 20:55:34,stdg5q8kyv23j0q8vxfestdg1ci2h3cw,,,
1015,person 499,St John's College,Female,,Male,Not interested,First,"First, Second",Archaeology and Anthropology,Drinks,"Live fast, die young","Art, Music, Culture...",Peck on the cheek,4,4,3,4,3,2,2,3,3,Fever,4,2,3,,4,5,,3,4,Kindness,Kindness,Ambition,Moderately left-wing,True,"Very conservative, Moderately conservative, Sightly conservative",Hassan's,Computer Science,Welfare,OUCA,Pembroke College,Eve bennet,False,,,False,False,False,,4,None,True,2020-10-20 20:56:06,trzotefz52ci7gvscwtrzos87yn5prhh,,,
1016,person 2436,Worcester College,Male,,Female,Not interested,First,"First, Second",Chemistry,Drinks,As long as it's legal,The Deep Stuff™,Peck on the cheek,2,3,2,3,4,5,3,2,4,Fever,5,3,4,Declan McKenna,5,1,3.0,1,3,Confidence,Ambition,Intelligence,Sightly conservative,False,,Posh Nosh,Computer Science,Freshers Rep,The Union,Exeter College,Korben Bailey,False,,,True,False,False,,5,,True,2020-10-20 21:16:45,k0tef4flhca7e80dsk0tegvz5owk9ez7,,,
1017,person 1127,Corpus Christi College,Female,,Male,Not interested,Second,"Second, Third",Medicine,Walk in the park,As long as it's legal,The Deep Stuff™,Elbow Tap,2,4,1,2,1,3,1,5,1,,2,1,5,"Machine gun kelly, lil peep, one direction, blink 182",4,3,3.0,1,5,Ambition,Intelligence,Confidence,Moderately left-wing,False,,Hassan's,Religion and Oriental Studies,President,OUCA,Worcester College,BFR,False,,,True,True,False,,5,Noo,False,2020-10-20 21:18:20,xz2pwa3ykd6haawxz2pwaup0a8bsjgwg,,,
1018,person 800,Mansfield College,Male,,Female,Not interested,Second,"First, Second, Third",Geography,Drinks,"Live fast, die young",Sex,Horizontal,1,5,4,3,5,2,5,5,4,Bridge,4,2,4,"Justin Bieber, Britney Spears",5,4,,4,3,Kindness,Kindness,Confidence,Moderately left-wing,True,"Very conservative, Moderately conservative",Hassan's,Classics,President,The Union,Brasenose College,Andrew Huang,False,,,True,True,False,,4,No,False,2020-10-20 21:23:32,yayur1wswmxl3xxvcja2yayur11nvo2y,,,
1019,person 2993,St Catherine's College,Female,,Male,Not interested,Third,Fourth + / Post Grad,Law (Jurisprudence),Coffee,As long as it's legal,The Deep Stuff™,Elbow Tap,3,3,2,3,4,3,1,1,3,Park End / ATIK / WTF it's called,4,2,4,"Lauv, Taylor Swift, Demi Lovato, Chelsea Cutler",3,4,2.0,2,5,Sense of Humour,Sense of Humour,Confidence,Moderate,True,"Very conservative, Very left-wing",Hassan's,European and Middle Eastern Languages,President,The Union,Wadham College,Cydney Beech,False,,,True,True,False,,5,Nope,True,2020-10-20 21:31:07,noggomzsr4tpaaxv3ctmnoggn9fmk60n,,,
1020,person 819,Keble College,Female,,Male,Not interested,Second,"Second, Third",Theology and Religion,Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,3,2,3,2,4,1,1,3,4,Bridge,5,3,3,,4,3,4.0,3,2,Confidence,Kindness,Ambition,Moderate,True,"Very left-wing, Very conservative",Hassan's,"Philosophy, Politics and Economics (PPE)",Freshers Rep,Rowing,Jesus College,,False,,,True,False,False,,4,No,False,2020-10-20 21:32:43,kglpivt7n0lwpgxdwkglpiv7lao297b0,,,
1021,person 2935,Pembroke College,Female,,Male,Not interested,Fourth + / Post Grad,"Third, Fourth + / Post Grad",History and Modern Languages,Walk in the park,2 Metres,"Art, Music, Culture...",Elbow Tap,2,5,2,5,2,3,5,2,3,Bridge,2,1,3,,4,3,,3,3,Sense of Humour,Sense of Humour,Intelligence,Moderately left-wing,True,"Very conservative, Moderately conservative",McCoy's,Physics,Entz,The Union,Worcester College,,False,,,True,True,True,Harris Manchester College,4,be able to pick more colleges you don’t want. be able to specify age,False,2020-10-20 21:33:30,tvm7tx3wqyrk3d3apj3stvm7txk4evuy,,,
1022,person 2403,Worcester College,Female,,"Male, Female",Not interested,Second,"Second, Third, Fourth + / Post Grad, First",Modern Languages and Linguistics,Drinks,As long as it's legal,The Deep Stuff™,Elbow Tap,3,4,2,3,3,1,2,2,3,Park End / ATIK / WTF it's called,4,2,4,"Musicals, TWICE, 2000s cheese, old school pop, rock",3,3,3.0,2,4,Kindness,Ambition,Confidence,Slightly left-wing,True,Very conservative,Hassan's,Archaeology and Anthropology,President,OUCA,Lady Margaret Hall,Amrit,False,,,True,True,False,,4,no,False,2020-10-20 21:42:18,5ctxb3o7xganjngj5ctocgon3i1o2nfq,,,
1023,person 2288,Corpus Christi College,Female,,"Male, Female, Nonbinary",Not interested,Second,"Second, Third, First",Mathematics,Walk in the park,As long as it's legal,"Art, Music, Culture...",Elbow Tap,2,3,2,3,1,3,1,2,2,,1,1,4,"K-POP (Monsta X, Seventeen, VIXX, Day6)",4,4,1.0,1,5,Kindness,Confidence,Ambition,I'm not political,True,"Very left-wing, Very conservative",Ahmed's,Human Sciences,Welfare,Rowing,Magdalen College,BFR,False,,,False,True,False,,4,No,False,2020-10-20 21:46:19,qlt69736oj76r45fhhxmw7qlt697g6pv,,,
