,I agree that I have bought a [ticket](https://fixr.co/event/215737120) and agree to the [Terms and Conditions](https://docs.google.com/document/d/1CMuFMFBw8FoJ2JRSkDh7QS31ZW5-Bf3\_BDg4pLLJ9B4/edit?usp=sharing).,name,Do you understand you won't get a match unless you've bought a ticket?,What college are you at?,What do you study?,"{{field:5be60ae4-75cb-48af-93d7-fb1955703b91}}, what year are you in?",What years do you want to match with?,I identify as...,I want to match with people looking for...,I want to match with someone who is:,How do you feel about a non-monogamous relationship?,I like Christmas the most for...,My ideal date is...,You are taking them to dinner. Where do you go?,What do you talk about?,How COVID-Secure is your Date?,Who pays?,What’s one thing you definitely want from your partner in the morning?,Fast forward to end of COVID-19. You and your partner are going on a dream romantic getaway. What continent is it on?,How political are you?,I would best describe myself as being...,Are there some political beliefs you don't want to match with?,I do not want to match with someone who is:,I would look after my drunk mate even if I had an essay due at 9am,"I’d always support my country, whether it was right or wrong.",Social activism is important to me,I'm very outgoing and extroverted,Climate change is the most important issue,My intellectual curiosity is the most important thing about me.,Being thought of as well dressed is important to me,"“From each according to his ability, to each according to his need” is a fundamentally good idea.
",I find extreme ambition attractive even when it interferes with family and friends,"Authority should always be questioned.
",No culture is superior to any other,It is important to me to promote access to Oxford,Making peace with the establishment is an important aspect of maturity.,"You cannot be moral without being religious
",I consider myself religious,There are some things that science cannot explain,Traditional gender roles exist for a reason,"Some people are naturally unlucky.
",Is it true that {{field:fead9b5e-ab90-4724-8d76-5bc0ee9a3a3b}} is the best college?,I think I have a healthy work/life balance.,I try to attend all lectures.,*Who has done* _*more*_* for women this term?*,I would never get with a tute partner,Best night out in Oxford?,"How do you describe organisations with hacks, slates, and famous debating societies? ",Are you smarter than most people at Oxford?,"Besides {{field:5be60ae4-75cb-48af-93d7-fb1955703b91}} {{field:7377cb3f-039d-4dc6-a882-0b64fac6f685}}, who is the Biggest Name on Campus?",Crewdates are...,Studying in the library is...,Are you a cat or a dog person?,What would you give your scout?,"Household bop or household baking?
",Emotional vulnerability is an important part of my friendships,Big spoon or little spoon?,How confident are you?,My humour is politically correct,Favourite game to play with friends?,My ideal date ends...,Do you announce to the porters if someone is staying over?,Are you kinky?,"Just so we’re really clear, are you naughty or nice? 😉",Best sconce?,Do you drink alcohol?,How much do you drink?,Do you smoke?,How much do you smoke?,"If you do nothing for an entire day, how do you feel?",Morning or Night person?,The ideal number of nights out is...,How important is music to you?,Favourite musicians? ,I consider myself outdoorsy,Vibe check - how wholesome are you?,I most want to get a...,I will most likely sell my soul to the city,How many children do you want?,I expect my children to attend Oxbridge,I want to be thought of as posh,"Looking back, if 2020 was a movie, what would it be called?",Which of these traits is most important for you in a partner?,Which of these traits is your best trait?,I would be disappointed if I didn't meet my match in person,I am happy to match with someone from my college,I am happy to match with someone from my course,Is there a particular college you don't want a match from?,I don't want a match from...,How was the quiz?,Any feedback for next time?,Do you want to include additional contact information for your match to reach you?,Your email is {{field:3b292fa4-3b1f-47db-8ef6-a631747f0486}} and you want to match with a {{field:cd7d9577-c952-4d05-b8b4-ef159867afa9}}.,Submitted At,Token
505,True,person 268,1.0,St Benet's Hall,Classics,Fourth + / Post Grad,"Third, Fourth + / Post Grad",Female,,Male,Not interested,Quality time with family and friends,Dinner at a nice restaurant,Homemade meal,"Art, Music, Culture...",3.0,Split equally,Breakfast,South America,4.0,Moderately left-wing,0.0,,5.0,1.0,4.0,3.0,3.0,2.0,1.0,4.0,2.0,4.0,5.0,2.0,2.0,1.0,2.0,4.0,1.0,4.0,5.0,3.0,2.0,It's closer than I'd like it to be,2.0,Park End,4.0,4.0,Bernard Gowers,3.0,3.0,3.0,Nice card for Christmas,4.0,4.0,2.0,3.0,4.0,Mariokart,4.0,1.0,2.0,3.0,Left a used condom down the back of a communal sofa for more than a year,1.0,3.0,0.0,,2.0,3.0,2.0,5.0,Billy Joel,4.0,5.0,First,2.0,3.0,1.0,1.0,50 shades of sourdough,Kindness,Kindness,4.0,1.0,0.0,0.0,,4.0,Nope,0.0,1.0,2020-11-24 21:36:30,5p0a1x59g1nxoag5p0arvflbw95b3ovw
506,True,person 149,1.0,St Catherine's College,Engineering Science,First,"First, Second, Third",Male,,Female,Not interested,The food,Dinner at a nice restaurant,Takeaway and a film,"Art, Music, Culture...",4.0,Split equally,Breakfast,Oceania,3.0,Moderately left-wing,0.0,,2.0,1.0,3.0,4.0,5.0,2.0,1.0,2.0,2.0,5.0,5.0,5.0,2.0,1.0,5.0,1.0,1.0,3.0,5.0,3.0,4.0,It's closer than I'd like it to be,1.0,Bully,4.0,3.0,Gimpy,4.0,1.0,3.0,Chocolate,1.0,2.0,2.0,4.0,2.0,Cards against Humanity,3.0,1.0,2.0,1.0,Let third years hit my arse as a game in freshers,1.0,3.0,0.0,,2.0,4.0,3.0,4.0,"Kanye, Kendrick, Brockhampton, Frank Ocean, Skepta, slowthai",4.0,2.0,Spouse,1.0,3.0,1.0,1.0,Two and a Half Gimps,Sense of Humour,Confidence,2.0,1.0,0.0,1.0,Merton College,4.0,,0.0,1.0,2020-11-24 22:02:36,5b4du9pluz7tdgvj5b4duxrtqatsp4xy
507,True,person 1302,1.0,Wadham College,Modern Languages,First,"First, Second, Third, Fourth + / Post Grad",Female,,Male,Happy either way,The time off,Dinner at a nice restaurant,Takeaway and a film,Sex,5.0,Split equally,Sex,Europe,4.0,Moderately left-wing,1.0,,4.0,1.0,4.0,4.0,4.0,2.0,4.0,3.0,1.0,4.0,4.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,4.0,It's closer than I'd like it to be,4.0,Plush,5.0,1.0,Krishi K,4.0,3.0,1.0,Nice card for Christmas,1.0,3.0,1.0,4.0,2.0,Cards against Humanity,5.0,1.0,4.0,3.0,dan millard,1.0,5.0,0.0,,4.0,3.0,3.0,5.0,"rejjie snow, loyle carner, brockhampton, tame impala",2.0,3.0,💰 Sweet job 💰,2.0,0.0,1.0,2.0,the dillard chronicles,Sense of Humour,Sense of Humour,5.0,0.0,0.0,0.0,,5.0,nah xx,1.0,1.0,2020-11-24 22:05:26,dfl9wogj2pwng8n0h9dfl9wo65tceu4b
508,True,person 2110,1.0,Wadham College,History,First,"First, Second, Third, Fourth + / Post Grad",Female,,Male,Happy either way,The time off,Taste the countryside on Port Meadow,Dinner at a nice restaurant,"Art, Music, Culture...",5.0,Them,Tickets for a night-out,Europe,2.0,Moderately left-wing,0.0,,5.0,1.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,Donald Trump,2.0,Plush,1.0,2.0,Lucia Clark,5.0,4.0,5.0,Flowers,1.0,4.0,1.0,3.0,1.0,Cards against Humanity,4.0,1.0,3.0,3.0,Ike Williams,1.0,5.0,0.0,,2.0,3.0,3.0,5.0,"loyle career, tom misch, brockhampton, hers, Tupac",5.0,5.0,Blue,5.0,3.0,1.0,3.0,a dog's dinner,Sense of Humour,Kindness,5.0,0.0,0.0,0.0,,5.0,ask who my crush is xx,1.0,1.0,2020-11-24 22:13:00,97kxhll8wwjhli2223397kxbqiku9ju9
509,True,person 2779,1.0,University College,"Philosophy, Politics and Economics (PPE)",Second,"Second, Third",Female,,Male,Not interested,The food,Taste the countryside on Port Meadow,Takeaway and a film,Sex,5.0,Split equally,Sex,South America,4.0,Moderately left-wing,0.0,,5.0,1.0,4.0,2.0,4.0,1.0,3.0,5.0,1.0,4.0,5.0,5.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,4.0,1.0,It's closer than I'd like it to be,1.0,Plush,5.0,1.0,Martha Storey,3.0,3.0,4.0,Chocolate,1.0,3.0,1.0,2.0,4.0,Cards against Humanity,4.0,1.0,3.0,3.0,,1.0,4.0,0.0,,4.0,5.0,3.0,4.0,HER,3.0,4.0,💰 Sweet job 💰,1.0,2.0,1.0,1.0,,Sense of Humour,Kindness,2.0,0.0,0.0,0.0,,3.0,,0.0,1.0,2020-11-24 22:43:30,3ahkwx12cn302ic773ahepc7wskbpby4
510,True,person 1639,1.0,Somerville College,History and English,First,First,Female,,Male,Not interested,Quality time with family and friends,Dinner at a nice restaurant,Homemade meal,The Deep Stuff™,3.0,Pay separately,Sex,Africa,3.0,Moderately left-wing,1.0,,4.0,1.0,5.0,3.0,3.0,1.0,4.0,5.0,2.0,2.0,4.0,5.0,2.0,1.0,1.0,2.0,1.0,4.0,4.0,5.0,4.0,It's closer than I'd like it to be,2.0,Plush,5.0,1.0,idk,1.0,2.0,4.0,Chocolate,3.0,5.0,1.0,4.0,5.0,Cards against Humanity,4.0,1.0,3.0,3.0,idk,1.0,3.0,0.0,,1.0,2.0,3.0,2.0,"Cigarettes after Sex, Foster the People, Borns",4.0,5.0,💰 Sweet job 💰,3.0,2.0,2.0,2.0,idk,Kindness,Kindness,5.0,1.0,0.0,0.0,,5.0,no,1.0,1.0,2020-11-24 22:16:30,rjtuunujtn2nr5oib5qqxzrjtuunujl1
511,True,person 2923,1.0,Trinity College,Physics and Philosophy,Fourth + / Post Grad,"Fourth + / Post Grad, Third",Female,,Male,Not interested,Quality time with family and friends,Visit the Ashmolean,Dinner at a nice restaurant,"Art, Music, Culture...",4.0,Split equally,To not wake me up,Asia,3.0,Slightly left-wing,1.0,,5.0,1.0,3.0,5.0,3.0,4.0,4.0,2.0,4.0,3.0,5.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,It's closer than I'd like it to be,3.0,Bridge,4.0,4.0,,4.0,4.0,5.0,Nice card for Christmas,1.0,4.0,1.0,4.0,4.0,Catan,4.0,1.0,4.0,4.0,,1.0,4.0,0.0,,2.0,4.0,3.0,5.0,,4.0,3.0,First,4.0,2.0,3.0,1.0,,Confidence,Kindness,4.0,1.0,1.0,0.0,,4.0,,1.0,1.0,2020-11-24 22:38:12,r77v8kv4k80k57mh7x51dr77v8kv8o3p
512,True,person 1401,1.0,Somerville College,Music,Second,"Second, Third, Fourth + / Post Grad",Female,,Male,Not interested,Quality time with family and friends,Visit the Ashmolean,Homemade meal,"Art, Music, Culture...",3.0,Them,Tickets for a night-out,South America,4.0,Very left-wing,1.0,,3.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,It's closer than I'd like it to be,4.0,Bridge,4.0,4.0,Adam Roble,2.0,4.0,5.0,Chocolate,4.0,4.0,1.0,3.0,3.0,Cards against Humanity,3.0,1.0,1.0,1.0,ditched friends for man,1.0,3.0,0.0,,3.0,4.0,2.0,5.0,"Robert Glasper, Kendrick Lamar, Erykah Badu, Jill Scott, Crazy Cousinz, Vaughan-Williams, Little Simz, Coldplay, Donae'o, Spice, Lauryn Hill, Kanye West,",2.0,4.0,First,1.0,3.0,2.0,1.0,Lockdown,Kindness,Sense of Humour,3.0,0.0,1.0,0.0,,4.0,Music round! pick genres from a list please give the algorithm a fighting chance haha,0.0,1.0,2020-11-24 22:40:09,5qfpschotai5okl8q5qfps1i2f2bd2qm
513,True,person 2603,1.0,Wadham College,Economics and Management,First,"First, Second, Third, Fourth + / Post Grad",Female,,Male,Not interested,Quality time with family and friends,Something active!,Dinner at a nice restaurant,Sex,5.0,Split equally,Sex,South America,2.0,Slightly conservative,1.0,,3.0,2.0,3.0,5.0,1.0,2.0,4.0,2.0,4.0,2.0,5.0,4.0,2.0,1.0,5.0,2.0,4.0,3.0,3.0,3.0,4.0,Donald Trump,1.0,Plush,4.0,1.0,Adam Pinto,4.0,4.0,5.0,Chocolate,1.0,3.0,1.0,4.0,2.0,Pictionary,5.0,1.0,4.0,4.0,Still a virgin,1.0,4.0,1.0,1.0,1.0,5.0,4.0,3.0,the penguins,3.0,4.0,Spouse,4.0,2.0,2.0,3.0,The disease that stole 2020,Sense of Humour,Sense of Humour,5.0,0.0,0.0,0.0,,4.0,nope,1.0,1.0,2020-11-24 22:41:19,5ni4vgjmuhs17drdhj805ni4vgjlx61w
514,True,person 979,1.0,St John's College,History of Art,First,"First, Second, Third, Fourth + / Post Grad",Female,,Male,Not interested,Quality time with family and friends,Something active!,Homemade meal,"Art, Music, Culture...",4.0,Split equally,Breakfast,South America,3.0,Moderate,0.0,,4.0,3.0,4.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,5.0,3.0,2.0,5.0,4.0,2.0,4.0,5.0,5.0,5.0,It's closer than I'd like it to be,2.0,Bridge,1.0,4.0,Rad Cam,4.0,3.0,5.0,Chocolate,1.0,2.0,2.0,4.0,4.0,Cards against Humanity,3.0,1.0,4.0,2.0,,1.0,3.0,0.0,,2.0,3.0,4.0,5.0,"Queen, Coldplay, Bakar, Black Eyed Peas, Billie Eilish",5.0,5.0,Spouse,3.0,2.0,3.0,1.0,Bohemian Rhapsody,Ambition,Kindness,3.0,0.0,0.0,0.0,,5.0,No,0.0,1.0,2020-11-25 02:10:10,asys194oisdv24tbzh9easys19h2kdn2
515,True,person 1659,1.0,Pembroke College,Mathematics,Second,"First, Second, Third",Male,,Female,Happy either way,The time off,Taste the countryside on Port Meadow,Dinner at a nice restaurant,The Deep Stuff™,4.0,Pay separately,Sex,Africa,3.0,Slightly left-wing,1.0,,4.0,1.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,5.0,5.0,5.0,1.0,1.0,4.0,2.0,2.0,3.0,1.0,3.0,"A certain society related to philosophy, politics and economics",2.0,Bridge,3.0,2.0,,3.0,2.0,1.0,Nice card for Christmas,3.0,2.0,5.0,2.0,3.0,Card Games,2.0,1.0,2.0,3.0,,1.0,1.0,0.0,,3.0,5.0,2.0,5.0,"Lil Peep, Swedish House Mafia, Juice WRLD, Armin Van Buuren, Mandragora, Disarmonia Mundi",3.0,4.0,First,4.0,2.0,1.0,1.0,The Lockdown,Confidence,Kindness,4.0,1.0,1.0,0.0,,3.0,Reduce the slang (Hack and Slates??)... non-British might not understand,1.0,1.0,2020-11-25 04:12:23,ggwum0b5qg728c5wwvr1mggwum0b5m69
516,True,person 2548,1.0,New College,Engineering Science,First,"First, Second",Female,,Male,Not interested,The time off,Taste the countryside on Port Meadow,Dinner at a nice restaurant,"Art, Music, Culture...",3.0,Split equally,To not wake me up,Europe,3.0,Slightly left-wing,1.0,,4.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,2.0,1.0,3.0,3.0,1.0,2.0,4.0,2.0,2.0,"A certain society related to philosophy, politics and economics",2.0,A night in..,2.0,2.0,Hannah Sadik,3.0,4.0,2.0,Flowers,5.0,5.0,3.0,1.0,4.0,Cards against Humanity,3.0,2.0,1.0,1.0,Charlie Mackintosh,1.0,2.0,0.0,,1.0,3.0,2.0,5.0,Neighbourhood,4.0,5.0,First,3.0,2.0,2.0,1.0,"the spectacular, unrealular, disaterlar year",Kindness,Kindness,4.0,1.0,1.0,0.0,,4.0,nope,1.0,1.0,2020-11-25 09:32:58,9642pr8pesokbv9642pu6adtu5sbvhic
517,True,person 2661,1.0,St Peter's College,Medicine,Third,"Third, Fourth + / Post Grad, Second",Female,,Male,Not interested,Quality time with family and friends,Something active!,Dinner at a nice restaurant,"Art, Music, Culture...",3.0,Split equally,Breakfast,South America,2.0,Slightly left-wing,1.0,,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,It's closer than I'd like it to be,3.0,A night in..,3.0,2.0,Eve Bennett,4.0,4.0,5.0,Chocolate,4.0,4.0,2.0,3.0,4.0,Pictionary,2.0,2.0,1.0,1.0,Got asked out by a housemate in the kitchen at 9am in the morning,1.0,2.0,0.0,,2.0,2.0,1.0,4.0,"Maggie Rogers, Taylor Swift, Harry Styles",4.0,4.0,Spouse,1.0,2.0,2.0,2.0,Change of plans,Kindness,Kindness,3.0,0.0,1.0,0.0,,4.0,Nope - thank you for doing it :)),0.0,1.0,2020-11-25 09:46:13,ifc7x5x66gulkn6ldr6uifc7x5xvrd0l
518,True,person 2042,1.0,Balliol College,Law (Jurisprudence),Fourth + / Post Grad,"Third, Fourth + / Post Grad",Male,,Female,Not interested,The time off,Something active!,Takeaway and a film,"Art, Music, Culture...",3.0,Split equally,Tickets for a night-out,Europe,3.0,Moderately left-wing,1.0,,4.0,1.0,4.0,2.0,3.0,2.0,3.0,4.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,4.0,3.0,2.0,1.0,It's closer than I'd like it to be,2.0,Bully,5.0,3.0,no clue,4.0,4.0,4.0,Chocolate,4.0,4.0,2.0,2.0,4.0,Monopoly,3.0,1.0,2.0,2.0,I sconce anyone who once took speed to help them pull an all-nighter for work.,1.0,3.0,0.0,,2.0,4.0,3.0,3.0,Dave; Raleigh Ritchie; Stormzy; Kanye (lol),2.0,4.0,Spouse,2.0,3.0,2.0,2.0,A Series of Unfortunate Events,Intelligence,Kindness,4.0,0.0,1.0,1.0,St Catherine's College,4.0,nope,1.0,1.0,2020-11-25 09:50:29,wqgrjoymx3gwwqge85ki7p6os9amsie8
519,True,person 1951,1.0,Worcester College,Medicine,First,"First, Second",Female,,"Female, Non-binary",Happy either way,The time off,Taste the countryside on Port Meadow,Dinner at a nice restaurant,"Art, Music, Culture...",4.0,Split equally,Sex,Oceania,4.0,Moderately left-wing,1.0,,4.0,1.0,5.0,5.0,3.0,3.0,4.0,4.0,2.0,4.0,5.0,5.0,2.0,1.0,2.0,4.0,2.0,3.0,5.0,2.0,4.0,It's closer than I'd like it to be,2.0,Bridge,4.0,3.0,Milo Wills,4.0,4.0,2.0,Chocolate,2.0,4.0,2.0,3.0,3.0,charades,4.0,1.0,4.0,4.0,talking about money,1.0,3.0,0.0,,2.0,2.0,3.0,4.0,"NAO, SZA, Harry Styles, Hozier, Frank Ocean, Phoebe Bridgers, Clairo, Loyle Carner",4.0,4.0,First,1.0,2.0,2.0,1.0,Shit,Sense of Humour,Kindness,4.0,1.0,0.0,0.0,,4.0,,1.0,1.0,2020-11-25 09:42:24,gl3exel6kapol4nzhhkgl3enj7oz71aa
520,True,person 1719,1.0,Magdalen College,Modern Languages,Third,"Second, Third, Fourth + / Post Grad",Female,,Male,Happy either way,Quality time with family and friends,Something active!,Dinner at a nice restaurant,Sex,5.0,Split equally,To not wake me up,South America,3.0,Slightly left-wing,0.0,,5.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,It's closer than I'd like it to be,2.0,Park End,5.0,3.0,,5.0,3.0,5.0,Nice card for Christmas,2.0,4.0,1.0,4.0,2.0,Pictionary,4.0,1.0,4.0,4.0,,1.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0,,4.0,3.0,Spouse,3.0,4.0,1.0,3.0,,Sense of Humour,Kindness,4.0,1.0,1.0,0.0,,4.0,,0.0,1.0,2020-11-25 09:53:17,paw6nrl02evxvjsk7pu0vwgp5paw6nrl
521,True,person 2648,1.0,Linacre College,Biochemistry (Molecular and Cellular),Fourth + / Post Grad,Fourth + / Post Grad,Female,,"Male, Female, Non-binary",Happy either way,Quality time with family and friends,Something active!,Dinner at a nice restaurant,The Deep Stuff™,3.0,Pay separately,Breakfast,South America,3.0,Moderately left-wing,1.0,,5.0,1.0,3.0,1.0,5.0,5.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,1.0,2.0,4.0,2.0,1.0,4.0,4.0,4.0,It's closer than I'd like it to be,3.0,A night in..,3.0,2.0,Idk,2.0,3.0,4.0,Chocolate,2.0,5.0,2.0,2.0,4.0,Pictionary,4.0,1.0,4.0,2.0,What’s a sconce?,1.0,4.0,0.0,,2.0,4.0,2.0,3.0,"Arctic Monkeys, Aerosmith, etc.",4.0,4.0,💰 Sweet job 💰,2.0,0.0,4.0,1.0,Home alone,Sense of Humour,Kindness,2.0,1.0,0.0,0.0,,4.0,"As a post grad student, I have no idea what half of these stuff means, but it’s funny so whatever 🤷‍♀️",0.0,1.0,2020-11-25 10:20:19,hxuxr13ze9t4wn3km1hxuxhxnmoh4wzh
522,True,person 2081,1.0,Worcester College,English Language and Literature,First,"First, Second, Third, Fourth + / Post Grad",Female,,Male,Happy either way,The presents,Visit the Ashmolean,Takeaway and a film,"Art, Music, Culture...",5.0,Pay separately,Sex,Europe,3.0,Moderately left-wing,0.0,,4.0,1.0,5.0,5.0,3.0,2.0,4.0,4.0,1.0,4.0,5.0,4.0,2.0,1.0,3.0,5.0,2.0,5.0,4.0,1.0,1.0,"A certain society related to philosophy, politics and economics",1.0,Bridge,3.0,1.0,Amrit,3.0,2.0,3.0,Chocolate,1.0,5.0,3.0,5.0,4.0,Ring of Fire ,4.0,1.0,4.0,5.0,Bruh idk,1.0,4.0,0.0,,2.0,5.0,4.0,5.0,"Hozier, Florence + the Machine, Disclosure, alt-j, Burna Boy, Amy Winehouse, Beyoncé, Rudimental, Kanye West, Kendrick Lamar, Doja Cat, Labrinth n",4.0,3.0,💰 Sweet job 💰,2.0,3.0,3.0,1.0,The Wack-ening,Kindness,Confidence,4.0,1.0,0.0,0.0,,4.0,,0.0,1.0,2020-11-25 10:11:16,7chp2wa9rd9ammu57chf04pafcyxb4oi
523,True,person 2264,1.0,St Hugh's College,European and Middle Eastern Languages,First,"First, Second, Third",Male,,Male,Happy either way,Quality time with family and friends,Dinner at a nice restaurant,Dinner at a nice restaurant,"Art, Music, Culture...",5.0,Split equally,Sex,Asia,4.0,Moderately left-wing,0.0,,4.0,2.0,4.0,4.0,5.0,3.0,2.0,3.0,2.0,5.0,5.0,2.0,3.0,1.0,1.0,3.0,2.0,4.0,5.0,4.0,4.0,It's closer than I'd like it to be,2.0,Plush,3.0,3.0,sexy ben,3.0,4.0,4.0,Chocolate,2.0,4.0,4.0,4.0,3.0,Pictionary,5.0,1.0,3.0,1.0,missed a tute for sex,1.0,4.0,1.0,1.0,2.0,4.0,3.0,5.0,"Charli XCX, Haim, Lauv",3.0,4.0,First,2.0,4.0,2.0,2.0,All netflix and no work makes a bitch crazy,Sense of Humour,Sense of Humour,5.0,1.0,1.0,0.0,,5.0,nope,1.0,1.0,2020-11-25 10:28:42,g7fucy8xr4tmww31gcg7fu53cbkdui1k
524,True,person 1348,1.0,Christ Church,Mathematics and Statistics,Second,"First, Second",Male,,Female,Not interested,The food,Something active!,Takeaway and a film,The Deep Stuff™,5.0,Me,Sex,Asia,2.0,I am not political,1.0,,4.0,1.0,2.0,3.0,5.0,4.0,3.0,2.0,4.0,5.0,5.0,5.0,1.0,2.0,2.0,2.0,4.0,1.0,5.0,5.0,4.0,It's closer than I'd like it to be,2.0,A night in..,5.0,5.0,Ali Izzatdust,4.0,1.0,3.0,Chocolate,5.0,4.0,4.0,5.0,2.0,Chess,4.0,1.0,5.0,4.0,,1.0,2.0,0.0,,1.0,4.0,1.0,3.0,"Judas Priest, Black Sabbath, Megadeth, Iron Maiden, Metallica, Motörhead, Dio",4.0,4.0,💰 Sweet job 💰,5.0,1.0,5.0,2.0,,Intelligence,Intelligence,5.0,0.0,0.0,0.0,,4.0,Allow the selection of more than one political view to exclude.,1.0,1.0,2020-11-25 10:45:10,0l4secby9baokw4rcp0l4s964cpqsu3c
525,True,person 2577,1.0,St Catherine's College,History and Politics,First,"First, Second",Male,,Female,Not interested,Quality time with family and friends,Dinner at a nice restaurant,Homemade meal,"Art, Music, Culture...",5.0,Split equally,To not wake me up,Asia,4.0,Moderately left-wing,1.0,,5.0,1.0,4.0,4.0,5.0,2.0,4.0,2.0,1.0,5.0,5.0,4.0,1.0,1.0,1.0,3.0,2.0,4.0,5.0,2.0,1.0,It's closer than I'd like it to be,3.0,Plush,4.0,3.0,not baiting people out smh,3.0,3.0,4.0,Nothing,3.0,5.0,4.0,4.0,3.0,Cards against Humanity,3.0,1.0,3.0,2.0,Not a scooby 😤,1.0,2.0,0.0,,2.0,3.0,1.0,5.0,"Kendrick Lamar, Kanye West, Juice WRLD, ATO, EDEN, IDK, Joey Bada$$, Denzel Curry, Pusha T",4.0,5.0,💰 Sweet job 💰,1.0,2.0,1.0,1.0,“2020 is going to be a fantastic year for Britain” - A Retelling of Titanic,Kindness,Kindness,5.0,1.0,1.0,0.0,,4.0,Solid effort team,1.0,1.0,2020-11-25 10:54:10,byf15k3vw0hcwccrc24evbyf15k3g9yk
526,True,person 405,1.0,Trinity College,Computer Science,First,"First, Second",Male,,Female,Not interested,The time off,Taste the countryside on Port Meadow,Dinner at a nice restaurant,"Art, Music, Culture...",3.0,Split equally,Breakfast,Europe,1.0,I am not political,0.0,,4.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,1.0,3.0,4.0,2.0,2.0,4.0,3.0,5.0,It's closer than I'd like it to be,2.0,A night in..,3.0,2.0,Rosie,1.0,1.0,5.0,Chocolate,5.0,4.0,4.0,1.0,3.0,Pictionary,2.0,2.0,2.0,2.0,???,0.0,,0.0,,1.0,2.0,1.0,5.0,"Aurora, Phoebe Bridgers, Mick Gordon, Christopher Larkin",2.0,4.0,💰 Sweet job 💰,4.0,2.0,1.0,1.0,2020,Kindness,Ambition,5.0,0.0,1.0,0.0,,4.0,nope,0.0,1.0,2020-11-25 10:52:43,sr4c22pujyjhya7sr4c2r1ud0izigtte
527,True,person 981,1.0,Wadham College,Oriental Studies,First,"First, Second",Male,,Female,Happy either way,Quality time with family and friends,Dinner at a nice restaurant,Dinner at a nice restaurant,The Deep Stuff™,1.0,Split equally,Breakfast,South America,5.0,Very left-wing,1.0,,4.0,1.0,5.0,3.0,4.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,4.0,2.0,5.0,2.0,2.0,It's closer than I'd like it to be,1.0,Bridge,3.0,2.0,Agi,3.0,2.0,5.0,Nice card for Christmas,1.0,2.0,4.0,4.0,2.0,Cards against Humanity,4.0,1.0,1.0,1.0,Tf is a sconce lmao,1.0,4.0,1.0,4.0,4.0,2.0,3.0,5.0,"Green Day, nirvana, Blink 182, Red Hot Chili Peppers, Foo fighters",4.0,5.0,Spouse,1.0,3.0,2.0,1.0,"No Planet For Old Men (or old women, or anyone with underlying health conditions)",Kindness,Sense of Humour,3.0,0.0,0.0,1.0,Wadham College,3.0,nope,0.0,1.0,2020-11-25 10:55:09,yf0on2ynicg45n7mjyf0onwfw39c2o8h
528,True,person 50,1.0,Brasenose College,History,First,First,Male,,Female,Happy either way,The food,Taste the countryside on Port Meadow,Dinner at a nice restaurant,Politics,5.0,Split equally,Sex,Europe,4.0,Moderate,0.0,,2.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,3.0,5.0,3.0,4.0,2.0,1.0,2.0,1.0,5.0,3.0,1.0,1.0,It's closer than I'd like it to be,5.0,A night in..,5.0,1.0,Dan Whiley,4.0,4.0,5.0,Nice card for Christmas,2.0,5.0,5.0,4.0,4.0,Chess,5.0,1.0,2.0,2.0,I sconce Christchurch to stop being quite so up itself,1.0,4.0,0.0,,1.0,5.0,4.0,5.0,Bowie Bob Dylan Lana Del Rey the Cure Arcade Fire Vampire Weekend,4.0,4.0,💰 Sweet job 💰,4.0,3.0,1.0,2.0,Requiem for a FUCKING NIGHTMARE,Kindness,Sense of Humour,4.0,0.0,0.0,0.0,,5.0,No,1.0,1.0,2020-11-25 11:02:27,5ghsiknqhlrmym305ghsi1ah5ytjd13k
